feature,mi,rf_importance,mi_rank,rf_rank,combined_rank
X9,0.010272117103274025,0.022122725289446175,2.0,4.0,3.0
X114,0.008515215005700627,0.012930525975676427,6.0,9.0,7.5
X197,0.0075682219845865095,0.023841195192199578,14.0,3.0,8.5
X196,0.007607631903423506,0.01354789575770594,13.0,8.0,10.5
X265,0.008186026028897286,0.010129379833630296,9.0,13.0,11.0
X249,0.006182382292126087,0.02429141149329847,26.0,2.0,14.0
X222,0.006170359550461413,0.018426630261669626,27.0,5.0,16.0
X218,0.0082643792979058,0.0059084499680206876,8.0,26.0,17.0
X217,0.0072288864989036306,0.008192408890321521,16.0,20.0,18.0
X219,0.006735126786102441,0.00929480696637382,23.0,16.0,19.5
X34,0.005138642577347197,0.014171958174673947,42.0,7.0,24.5
X74,0.005146847548656908,0.00536878261813756,41.0,30.0,35.5
X274,0.007002806904145453,0.0038794290805560677,18.0,59.0,38.5
X291,0.004417141282769155,0.016721420409585592,76.0,6.0,41.0
X236,0.006796569730894042,0.003749944035789071,22.0,62.0,42.0
X258,0.004600651270293854,0.00581921042700503,60.0,27.0,43.5
X259,0.005750661394186896,0.0039041770235573024,32.0,58.0,45.0
X113,0.004627279160712039,0.004902946861853909,59.0,37.0,48.0
X206,0.005072163962820397,0.0041849525197147205,46.0,50.0,48.0
X80,0.004597777372881806,0.0046558205884630706,61.0,41.0,51.0
X103,0.004882750709932715,0.004177017593209302,51.0,51.0,51.0
X192,0.004351043740188132,0.006380716633273227,80.0,23.0,51.5
X95,0.005917933513880591,0.0033440669643916288,30.0,74.0,52.0
X214,0.005981584475373003,0.00326402781818579,29.0,78.0,53.5
X203,0.005287747073383864,0.0033813482469029293,39.0,72.0,55.5
X266,0.004395277340522474,0.00515938189577174,79.0,33.0,56.0
X220,0.0041493573336863765,0.005285094854100112,89.0,31.0,60.0
X88,0.0048007967959615705,0.0035041668135388374,53.0,68.0,60.5
X281,0.00451730672197681,0.004113585034050017,68.0,53.0,60.5
X290,0.003936866775670733,0.006353769055728377,99.0,24.0,61.5
X167,0.00566202532480542,0.0030441051387645425,34.0,90.0,62.0
X169,0.00456406510860452,0.0036404275794388766,63.0,64.0,63.5
X264,0.004698306236743832,0.003406325786727029,56.0,71.0,63.5
X4,0.0038005768994098243,0.006433028895378018,106.0,22.0,64.0
X233,0.005826711521164096,0.002862841814345809,31.0,100.0,65.5
X286,0.0037306903946885406,0.005449601973647365,108.0,28.0,68.0
X163,0.0045243766101461524,0.0032995411234008863,66.0,76.0,71.0
X205,0.003993746476461002,0.004238864675168916,95.0,48.0,71.5
X159,0.0036010752996125106,0.005250155764332502,114.0,32.0,73.0
X23,0.004718332165305927,0.0028716021518333163,54.0,99.0,76.5
X72,0.006812518187350847,0.0024574089055801347,21.0,141.0,81.0
X208,0.005125088394386967,0.0026298218354762664,43.0,120.0,81.5
X223,0.004404688740518692,0.003066800644480922,78.0,88.0,83.0
X51,0.004648884934848496,0.002765092842093473,58.0,108.0,83.0
X202,0.0034365008300711875,0.0041029204941863354,125.0,54.0,89.5
X250,0.004482500719109828,0.0027079174525274177,71.0,114.0,92.5
X156,0.004483635524511476,0.0026586060894036364,70.0,117.0,93.5
X45,0.004891305256824019,0.00249187915766216,50.0,138.0,94.0
X279,0.004242333181656788,0.0027904743805445076,83.0,107.0,95.0
X283,0.0033857630111608916,0.0038482000172267534,131.0,60.0,95.5
